date,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_visibility,mean_wind_speed,max_temperature,total_precipitation,snow_depth,fog,snow,hail,thunder
2006-01-24,33.200000762939453,26.799999237060547,1008.5,7.0,15.199999809265137,23.0,0.0,1.2000000476837158,false,false,false,false
2006-01-25,33.299999237060547,21.399999618530273,1021.0999755859375,10.0,14.0,28.899999618530273,0.0,1.2000000476837158,false,false,false,false
2006-01-26,30.299999237060547,19.700000762939453,1031.4000244140625,9.8999996185302734,4.5999999046325684,19.399999618530273,0.0,2.6600000381469728,false,false,false,false
2006-01-27,39.900001525878906,25.299999237060547,1027.5999755859375,10.0,10.699999809265137,35.599998474121094,0.0,2.6600000381469728,false,false,false,false
2006-01-28,43.200000762939453,33.799999237060547,1019.9000244140625,9.3999996185302734,6.5999999046325684,35.099998474121094,0.0,2.6600000381469728,false,false,false,false
2006-01-29,46.900001525878906,44.299999237060547,998.5999755859375,7.0,11.5,36.0,0.52999997138977051,2.3500000238418579,false,false,false,false
2006-01-30,36.900001525878906,31.100000381469727,1004.0,8.8000001907348633,11.699999809265137,32.0,0.0099999997764825821,1.8333333333333333,false,false,false,false
2006-01-31,32.5,24.700000762939453,1013.2999877929688,10.0,8.6999998092651367,30.0,0.0,1.2000000476837158,false,false,false,false
2006-02-01,39.099998474121094,30.0,1007.9000244140625,10.0,10.199999809265137,30.200000762939453,0.0,1.2000000476837158,false,false,false,false
2006-02-02,35.599998474121094,29.700000762939453,1006.5999755859375,7.4000000953674316,4.4000000953674316,27.0,0.0,2.4166667064030967,false,false,false,false
2006-02-03,36.799999237060547,33.299999237060547,1002.7999877929688,4.5,5.0,32.0,0.49000000953674316,2.4166667064030967,false,false,false,false
2006-02-04,31.200000762939453,25.799999237060547,1008.5999755859375,8.6999998092651367,11.699999809265137,26.600000381469727,0.0,2.4166667064030967,false,false,false,false
2006-02-05,26.600000381469727,18.399999618530273,1007.9000244140625,9.3000001907348633,12.0,21.200000762939453,0.019999999552965164,1.2000000476837158,false,false,false,false
2006-02-06,27.0,12.699999809265137,1015.7000122070312,10.0,11.899999618530273,19.399999618530273,0.0,1.2000000476837158,false,false,false,false
2006-02-07,26.299999237060547,8.0,1021.2000122070312,10.0,8.3000001907348633,19.399999618530273,0.0,1.2000000476837158,false,false,false,false
2006-02-08,26.399999618530273,12.300000190734863,1022.5999755859375,9.0,8.0,19.899999618530273,0.0,1.2000000476837158,false,false,false,false
2006-02-09,24.700000762939453,10.199999809265137,1025.199951171875,10.0,8.1000003814697266,17.600000381469727,0.019999999552965164,1.2000000476837158,false,false,false,false
2006-02-10,30.299999237060547,20.899999618530273,1016.5,8.6999998092651367,6.9000000953674316,24.799999237060547,0.019999999552965164,1.2000000476837158,false,false,false,false
2006-02-11,31.899999618530273,25.600000381469727,1018.4000244140625,6.0999999046325684,6.3000001907348633,25.200000762939453,0.0,1.2000000476837158,false,false,false,false
2006-02-12,27.399999618530273,20.399999618530273,1016.7999877929688,7.6999998092651367,7.9000000953674316,23.0,0.059999998658895493,1.2000000476837158,false,false,false,false
2006-02-13,25.5,12.600000381469727,1014.2999877929688,9.8999996185302734,10.800000190734863,15.800000190734863,0.0,1.2000000476837158,false,false,false,false
2006-02-14,34.900001525878906,22.200000762939453,1009.5,9.1999998092651367,7.0,18.0,0.0,1.2000000476837158,false,false,false,false
2006-02-15,40.0,26.799999237060547,1014.0,10.0,8.3000001907348633,24.299999237060547,0.0,1.2000000476837158,false,false,false,false
2006-02-16,34.5,31.299999237060547,1010.2000122070312,6.1999998092651367,12.699999809265137,32.0,0.12999999523162842,1.2000000476837158,true,true,true,true
2006-02-17,22.700000762939453,13.600000381469727,1026.0,9.3000001907348633,13.699999809265137,17.100000381469727,1.0900000333786011,1.2000000476837158,false,false,false,false
2006-02-18,2.9000000953674316,-12.5,1039.0,10.0,12.800000190734863,-7.5999999046325684,0.0,1.2000000476837158,false,false,false,false
2006-02-19,7.1999998092651367,-5.9000000953674316,1034.5,10.0,9.0,-6.0,0.0,1.2000000476837158,false,false,false,false
2006-02-20,19.799999237060547,3.9000000953674316,1021.9000244140625,10.0,9.3999996185302734,12.199999809265137,0.0,2.1125000417232513,false,false,false,false
2006-02-21,27.600000381469727,15.399999618530273,1014.9000244140625,9.8999996185302734,8.3999996185302734,19.399999618530273,0.0,2.1125000417232513,false,false,false,false
2006-02-22,33.799999237060547,21.0,1011.7000122070312,9.3000001907348633,5.9000000953674316,21.200000762939453,0.0,2.1125000417232513,false,false,false,false
2006-02-23,33.799999237060547,19.799999237060547,1014.2999877929688,10.0,8.5,24.100000381469727,0.0,2.1125000417232513,false,false,false,false
2006-02-24,30.399999618530273,12.699999809265137,1024.4000244140625,10.0,8.3999996185302734,19.0,0.0,2.1125000417232513,false,false,false,false
2006-02-25,35.400001525878906,18.0,1021.2000122070312,10.0,12.899999618530273,15.300000190734863,0.0,2.1125000417232513,false,false,false,false
2006-02-26,24.5,0.40000000596046448,1033.4000244140625,10.0,8.1000003814697266,16.0,0.0,2.1125000417232513,false,false,false,false
2006-02-27,32.5,11.800000190734863,1020.0,10.0,7.8000001907348633,16.0,0.0,2.1125000417232513,false,false,false,false
2006-02-28,30.399999618530273,15.199999809265137,1017.2999877929688,10.0,9.1999998092651367,26.100000381469727,0.0,2.1125000417232513,false,false,false,false
2006-03-01,34.200000762939453,18.799999237060547,1013.2999877929688,10.0,9.6000003814697266,26.100000381469727,0.0,2.1125000417232513,false,false,false,false
